ID,WLB1,WLB2,WLB3,WLB4,WLB5,WLB6,EE1,EE2,EE3,EE4,EE5,EE6,COMP1,COMP2,COMP3,COMP4,COMP5,COMP6,JC1,JC2,JC3,JC4,JC5,JC6,TI1,TI2,TI3,TI4,TI5,TI6
R001,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R002,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,3,4,3,3
R003,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,5,4
R004,2,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
R005,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3
R006,4,5,5,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,3
R007,2,2,2,2,3,2,4,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
R008,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,4,5,5
R009,4,4,4,4,4,4,3,4,4,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4
R010,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4
R011,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4
R012,3,3,3,4,3,3,3,3,3,3,3,3,5,4,4,4,5,4,3,3,3,3,3,3,4,4,4,3,3,4
R013,4,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,4,4,3,4,4,4
R014,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,2,2,3
R015,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
R016,3,3,3,3,3,3,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
R017,5,5,4,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,5,4,4,5,4,5
R018,5,5,5,4,5,5,4,3,4,4,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
R019,4,4,4,4,4,4,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
R020,4,4,3,4,3,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
R021,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
R022,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3
R023,3,3,3,3,3,3,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
R024,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3
R025,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,4,5
R026,3,3,3,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,3,3,3,3,3,3,3
R027,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4
R028,3,3,3,3,3,2,3,3,3,4,3,3,4,4,4,4,4,3,3,3,3,4,3,3,4,4,3,3,3,4
R029,3,4,4,3,3,3,4,4,3,3,4,3,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4
R030,3,3,3,3,3,3,4,4,4,4,5,4,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3
R031,3,3,3,4,3,4,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3
R032,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3
R033,2,3,2,3,3,3,4,4,4,4,4,5,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
R034,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,2,3,3,2,3,2,3,2,3,3,3,3
R035,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,3,4,3
R036,3,4,3,4,3,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R037,3,4,3,4,3,3,3,3,4,3,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4
R038,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,5,4,3,2,2,3,2,2,4,3,4,3,4,4
R039,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,3,2,2,5,4,4,4,4,4
R040,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
R041,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,4,3,4,4,4,4
R042,3,2,3,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,3,3
R043,3,3,3,3,3,4,3,3,4,3,3,4,4,4,4,3,4,4,2,2,2,2,2,2,5,5,4,4,5,4
R044,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,2,3,3,4,4,3,4,4,3,4,4,4,4,4,4
R045,3,4,4,3,4,3,4,4,4,4,4,5,4,3,3,4,4,3,3,3,3,3,3,3,4,4,3,4,3,4
