Konstruk,Nama variabel',Pertanyaan
Work-life Balance (WLB),WLB1,Saya dapat menyeimbangkan tuntutan pekerjaan dan kehidupan pribadi saya.
Work-life Balance (WLB),WLB2,Saya jarang membawa pekerjaan ke rumah.
Work-life Balance (WLB),WLB3,Waktu saya untuk keluarga tidak terganggu oleh pekerjaan.
Work-life Balance (WLB),WLB4,Saya merasa puas dengan keseimbangan antara pekerjaan dan kehidupan pribadi saya.
Work-life Balance (WLB),WLB5,Saya memiliki cukup waktu untuk aktivitas di luar pekerjaan.
Work-life Balance (WLB),WLB6,Stres pekerjaan tidak memengaruhi hubungan saya dengan keluarga.
Employee Engagement (EE),EE1,Saya merasa bersemangat saat bekerja.
Employee Engagement (EE),EE2,Saya tenggelam dalam pekerjaan saya.
Employee Engagement (EE),EE3,Saya merasa pekerjaan saya bermakna.
Employee Engagement (EE),EE4,Saya bangga dengan pekerjaan saya.
Employee Engagement (EE),EE5,Saya merasa termotivasi setiap hari kerja.
Employee Engagement (EE),EE6,Saya ingin berkontribusi lebih banyak dalam organisasi.
Competency (COMP),COMP1,Saya memiliki kemampuan teknis yang diperlukan untuk pekerjaan saya.
Competency (COMP),COMP2,Saya terus mengembangkan keterampilan saya.
Competency (COMP),COMP3,Saya dapat bekerja secara efektif dalam tim.
Competency (COMP),COMP4,Saya memiliki pengetahuan yang cukup untuk melaksanakan tugas.
Competency (COMP),COMP5,Saya mampu mengambil keputusan dalam situasi sulit.
Competency (COMP),COMP6,Saya dapat menyesuaikan diri dengan perubahan di tempat kerja.
Job Characteristic (JC),JC1,Pekerjaan saya memerlukan berbagai keterampilan.
Job Characteristic (JC),JC2,Saya memiliki otonomi dalam mengambil keputusan.
Job Characteristic (JC),JC3,Saya tahu seberapa baik saya melakukan pekerjaan saya.
Job Characteristic (JC),JC4,Pekerjaan saya memberikan kontribusi berarti bagi organisasi.
Job Characteristic (JC),JC5,Saya mendapatkan umpan balik atas hasil pekerjaan saya.
Job Characteristic (JC),JC6,Saya merasa pekerjaan saya menantang dan tidak monoton.
Turn-over Intention (TI),TI1,Saya sering memikirkan untuk meninggalkan instansi saya.
Turn-over Intention (TI),TI2,Saya sedang mencari pekerjaan di tempat lain.
Turn-over Intention (TI),TI3,"Jika memungkinkan, saya ingin berhenti dari pekerjaan ini."
Turn-over Intention (TI),TI4,Saya merasa tidak akan bertahan lama di instansi ini.
Turn-over Intention (TI),TI5,Saya tidak memiliki komitmen jangka panjang terhadap organisasi.
Turn-over Intention (TI),TI6,Saya merasa bekerja di tempat lain akan lebih baik.
